fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-19,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,20:00:00,villa blanca e13,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,9,masculino,soltero,colombia,estudiante,,primaria,76001000
2015-08-20,valle,cali (ct),articulo 205. acceso carnal violento,jueves,02:30:00,3 de julio e19,urbana,vias publicas,escopolamina,a pie,a pie,18,femenino,soltero,,empleado particular,,primaria,76001000
2015-08-20,valle,cali (ct),articulo 211. acto sexual violento (circunstancias de agravacion),jueves,08:24:00,ciudad cordoba e15,urbana,vias publicas,,a pie,a pie,29,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-21,valle,cali (ct),articulo 205. acceso carnal violento,viernes,22:00:00,centenario e2,urbana,vias publicas,contundentes,a pie,a pie,23,femenino,soltero,colombia,empleado particular,ciencias ecologicas,superior,76001000
2015-08-21,valle,cali (ct),articulo 206. acto sexual violento,viernes,10:00:00,la alborada e16,urbana,vias publicas,sin empleo de armas,a pie,a pie,10,femenino,soltero,,empleado particular,,primaria,76001000
2015-08-21,valle,cali (ct),articulo 211. actos sexuales con menor de 14 anos (circunstancias de agravacion),viernes,10:00:00,siete de agosto e7,urbana,vias publicas,,a pie,a pie,2,femenino,soltero,colombia,estudiante,,analfabeta,76001000
2015-08-21,valle,cali (ct),articulo 211. actos sexuales con menor de 14 anos (circunstancias de agravacion),viernes,21:00:00,3 de julio e19,urbana,vias publicas,,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-22,valle,cali (ct),articulo 205. acceso carnal violento,sabado,06:50:00,san carlos e11,urbana,vias publicas,contundentes,a pie,a pie,14,masculino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-22,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,sabado,13:00:00,union de vivienda popular e16,urbana,vias publicas,sin empleo de armas,a pie,a pie,10,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-08-22,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,sabado,17:03:00,el ingenio e17,urbana,interior vehiculo particular,contundentes,conductor vehiculo,conductor vehiculo,11,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-22,valle,cali (ct),articulo 211. acceso carnal abusivo con menor de 14 anos (circunstancias agravacion),sabado,20:30:00,los naranjos i e14,urbana,dentro de la vivienda,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-23,valle,cali (ct),articulo 206. acto sexual violento,domingo,15:30:00,alfonso lopez ii e7,urbana,casas de habitacion,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-23,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,09:00:00,junin e9,urbana,vias publicas,sin empleo de armas,a pie,a pie,48,femenino,divorciado,,empleado particular,,secundaria,76001000
2015-08-23,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,20:00:00,marroquin i e14,urbana,vias publicas,escopolamina,a pie,a pie,31,femenino,soltero,colombia,independiente,,secundaria,76001000
2015-08-24,valle,cali (ct),articulo 210 a. acoso sexual,lunes,11:00:00,siloe e20,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,primaria,76001000
